layer_sizes	pool_mode	activation_fn	label_set	acc
[1024, 512, 256]	mean	prelu	full	0.6834
[512, 512]	max	leakyrelu	full	0.6833
[512, 512, 512]	mean	prelu	full	0.6832
[128, 128]	mean	tanh	full	0.6832
[256, 256, 256]	mean	relu	full	0.6831
[512, 512, 256]	sum	relu	full	0.683
[512, 256, 128]	mean	prelu	full	0.683
[256, 256, 256]	mean	elu	full	0.683
[1024, 512]	mean	tanh	full	0.6829
[512, 256]	max	prelu	full	0.6829
[512, 256, 128]	sum	leakyrelu	full	0.6828
[1024, 1024]	sum	elu	full	0.6828
[512, 512, 256]	mean	leakyrelu	full	0.6828
[256, 256, 256]	sum	tanh	full	0.6826
[1024, 512]	max	relu	full	0.6826
[512, 256, 128]	sum	tanh	full	0.6826
[512, 128]	max	leakyrelu	full	0.6826
[256, 256, 256]	mean	tanh	full	0.6826
[128, 128]	mean	prelu	full	0.6825
[512, 512, 256]	mean	relu	full	0.6824
[256, 256, 256]	mean	prelu	full	0.6824
[1024, 1024]	max	elu	full	0.6821
[512, 512]	max	tanh	full	0.6821
[1024, 512]	max	leakyrelu	full	0.6821
[1024, 128]	max	tanh	full	0.6819
[1024, 256]	mean	leakyrelu	full	0.6819
[1024, 512]	max	tanh	full	0.6818
[256, 256, 256]	sum	relu	full	0.6817
[1024, 512]	max	prelu	full	0.6816
[1024, 1024, 1024]	max	tanh	full	0.6816
[1024, 1024]	max	leakyrelu	full	0.6816
[256, 256, 256]	mean	leakyrelu	full	0.6816
[512, 512, 256]	sum	prelu	full	0.6816
[1024, 1024, 1024]	max	relu	full	0.6815
[512, 256]	max	tanh	full	0.6813
[1024, 512]	max	elu	full	0.681
[1024, 256]	max	relu	full	0.6809
[512, 128]	max	elu	full	0.6807
[512, 128]	max	prelu	full	0.6807
[1024, 1024]	max	tanh	full	0.6807
[512, 256]	max	elu	full	0.6807
[1024, 1024]	max	prelu	full	0.6806
[512, 256]	max	leakyrelu	full	0.6805
[1024, 256]	max	tanh	full	0.6805
[1024, 256]	max	leakyrelu	full	0.6804
[256, 128]	max	elu	full	0.6804
[256, 256]	max	elu	full	0.6803
[512, 128]	max	relu	full	0.6801
[256, 256]	max	relu	full	0.6801
[256, 256, 256]	sum	elu	full	0.6799
[256, 256]	max	tanh	full	0.6799
[1024, 1024, 1024]	max	elu	full	0.6799
[1024, 512, 256]	max	leakyrelu	full	0.6799
[512, 256]	max	relu	full	0.6799
[1024, 256]	max	elu	full	0.6798
[512, 128]	max	tanh	full	0.6798
[1024, 128]	max	elu	full	0.6797
[1024, 128]	max	prelu	full	0.6797
[512, 512]	max	relu	full	0.6797
[256, 256]	max	leakyrelu	full	0.6797
[1024, 128]	max	leakyrelu	full	0.6796
[256, 256, 256]	sum	leakyrelu	full	0.6796
[512, 512, 256]	max	relu	full	0.6795
[1024, 1024, 1024]	max	prelu	full	0.6795
[256, 128]	max	relu	full	0.6793
[256, 128]	max	prelu	full	0.6792
[1024, 256]	max	prelu	full	0.6791
[1024, 1024, 1024]	max	leakyrelu	full	0.6791
[512, 512, 512]	max	leakyrelu	full	0.679
[256, 128]	max	leakyrelu	full	0.679
[1024, 512, 256]	max	elu	full	0.6789
[512, 512, 256]	max	elu	full	0.6788
[512, 512, 512]	max	tanh	full	0.6786
[1024, 128]	max	relu	full	0.6781
[512, 512, 256]	max	leakyrelu	full	0.678
[1024, 512, 256]	max	prelu	full	0.6775
[1024, 512, 256]	max	relu	full	0.6775
[256, 128]	max	tanh	full	0.6774
[128, 128]	max	prelu	full	0.6774
[512, 512, 256]	max	tanh	full	0.6773
[512, 512, 256]	max	prelu	full	0.6771
[256, 256]	max	prelu	full	0.6771
[512, 512, 512]	max	relu	full	0.6771
[1024, 512, 256]	max	tanh	full	0.6771
[512, 256, 128]	max	tanh	full	0.6768
[512, 256, 128]	max	elu	full	0.6768
[128, 128]	max	tanh	full	0.6767
[512, 512, 512]	max	elu	full	0.6765
[128, 128]	max	relu	full	0.6762
[128, 128]	max	elu	full	0.6759
[512, 256, 128]	max	prelu	full	0.6757
[128, 128]	max	leakyrelu	full	0.6756
[128, 128, 128]	mean	tanh	full	0.6754
