[512],sum,prelu,full,0.6913
[512],mean,tanh,full,0.6905
[512],sum,tanh,full,0.6903
[512],mean,leakyrelu,full,0.6892
[1024],mean,elu,full,0.6891
[1024],mean,prelu,full,0.6890
[1024],mean,relu,full,0.6889
[512],sum,leakyrelu,full,0.6888
"[1024, 1024]",sum,leakyrelu,full,0.6887
"[1024, 256]",mean,tanh,full,0.6884
"[1024, 1024]",mean,prelu,full,0.6883
[256],sum,elu,full,0.6883
[512],mean,relu,full,0.6883
[512],mean,elu,full,0.6883
[256],mean,tanh,full,0.6882
[256],mean,leakyrelu,full,0.6882
"[1024, 256]",sum,tanh,full,0.6881
[512],sum,elu,full,0.6880
"[512, 512]",mean,relu,full,0.6879
[1024],sum,elu,full,0.6879
"[1024, 1024]",mean,elu,full,0.6878
[1024],mean,tanh,full,0.6878
"[1024, 1024]",mean,relu,full,0.6877
"[1024, 256]",sum,elu,full,0.6877
"[1024, 256]",mean,leakyrelu,full,0.6877
"[1024, 1024]",dense,tanh,full,0.6876
"[1024, 256]",mean,prelu,full,0.6876
"[1024, 256]",mean,relu,full,0.6874
[256],sum,leakyrelu,full,0.6872
[512],mean,prelu,full,0.6871
"[1024, 1024]",mean,tanh,full,0.6870
"[1024, 1024]",sum,prelu,full,0.6869
"[1024, 1024]",sum,tanh,full,0.6868
[1024],sum,tanh,full,0.6868
[256],mean,elu,full,0.6867
[1024],mean,leakyrelu,full,0.6867
"[512, 512]",mean,prelu,full,0.6866
"[1024, 256]",sum,prelu,full,0.6865
[1024],sum,prelu,full,0.6865
"[1024, 1024]",dense,prelu,full,0.6864
"[1024, 1024]",sum,relu,full,0.6862
"[1024, 256]",dense,tanh,full,0.6862
[256],sum,tanh,full,0.6862
[256],mean,prelu,full,0.6861
"[1024, 1024]",sum,elu,full,0.6859
"[1024, 256]",dense,leakyrelu,full,0.6859
[256],sum,relu,full,0.6859
[1024],sum,leakyrelu,full,0.6859
"[512, 512]",sum,elu,full,0.6858
[256],sum,prelu,full,0.6858
"[1024, 1024]",mean,leakyrelu,full,0.6857
"[1024, 128]",dense,relu,full,0.6856
[128],sum,prelu,full,0.6856
[128],dense,elu,full,0.6855
[256],dense,tanh,full,0.6854
"[512, 512]",mean,leakyrelu,full,0.6853
"[1024, 128]",dense,prelu,full,0.6853
[128],mean,leakyrelu,full,0.6853
[256],dense,leakyrelu,full,0.6853
[1024],sum,relu,full,0.6853
"[1024, 256]",mean,elu,full,0.6851
"[1024, 1024, 1024]",mean,relu,full,0.6851
[128],dense,prelu,full,0.6851
"[1024, 256]",dense,relu,full,0.6850
"[1024, 128]",sum,prelu,full,0.6850
[256],dense,relu,full,0.6850
[512],sum,relu,full,0.6850
"[512, 512]",sum,tanh,full,0.6849
"[512, 512]",dense,leakyrelu,full,0.6849
"[1024, 1024]",dense,relu,full,0.6849
"[1024, 1024, 1024]",sum,prelu,full,0.6849
"[1024, 1024, 1024]",mean,tanh,full,0.6849
"[1024, 256]",sum,relu,full,0.6848
"[1024, 1024, 1024]",mean,leakyrelu,full,0.6848
"[512, 512]",mean,elu,full,0.6847
"[1024, 128]",dense,elu,full,0.6847
[128],sum,leakyrelu,full,0.6847
[128],mean,relu,full,0.6847
"[1024, 128]",mean,tanh,full,0.6846
"[1024, 1024, 1024]",sum,tanh,full,0.6845
"[512, 512]",sum,leakyrelu,full,0.6844
"[1024, 128]",mean,elu,full,0.6844
[256],dense,elu,full,0.6844
[128],dense,tanh,full,0.6843
"[1024, 256]",dense,prelu,full,0.6841
[128],dense,relu,full,0.6841
"[512, 512]",mean,tanh,full,0.6840
"[1024, 1024]",dense,leakyrelu,full,0.6840
"[1024, 256]",sum,leakyrelu,full,0.6840
[256],mean,relu,full,0.6839
"[1024, 128]",sum,elu,full,0.6838
[512],dense,tanh,full,0.6838
"[1024, 128]",mean,relu,full,0.6837
"[1024, 128]",mean,prelu,full,0.6837
"[1024, 1024, 1024]",sum,elu,full,0.6837
"[1024, 256]",dense,elu,full,0.6836
[128],mean,prelu,full,0.6836
"[1024, 512, 256]",mean,elu,full,0.6835
"[512, 512]",sum,relu,full,0.6834
"[512, 512]",dense,elu,full,0.6834
[1024],dense,prelu,full,0.6834
"[1024, 128]",sum,relu,full,0.6833
"[1024, 128]",mean,leakyrelu,full,0.6833
"[1024, 1024, 1024]",mean,prelu,full,0.6833
"[1024, 128]",sum,leakyrelu,full,0.6832
[128],mean,elu,full,0.6832
"[1024, 1024, 1024]",sum,relu,full,0.6831
[128],dense,leakyrelu,full,0.6831
"[512, 512]",sum,prelu,full,0.6830
"[1024, 128]",sum,tanh,full,0.6830
[128],sum,elu,full,0.6830
"[512, 512]",dense,prelu,full,0.6829
"[1024, 1024, 1024]",sum,leakyrelu,full,0.6829
[256],dense,prelu,full,0.6829
"[1024, 1024, 1024]",dense,tanh,full,0.6828
[128],mean,tanh,full,0.6827
"[1024, 512, 256]",mean,tanh,full,0.6826
"[1024, 512, 256]",sum,relu,full,0.6825
[512],dense,prelu,full,0.6825
"[1024, 128]",dense,leakyrelu,full,0.6824
"[1024, 512, 256]",mean,prelu,full,0.6824
"[1024, 1024]",dense,elu,full,0.6822
[128],sum,tanh,full,0.6822
"[512, 512]",dense,tanh,full,0.6818
"[256, 256]",mean,prelu,full,0.6817
"[1024, 1024, 1024]",mean,elu,full,0.6815
[512],dense,relu,full,0.6815
[1024],dense,elu,full,0.6815
"[1024, 512, 256]",sum,tanh,full,0.6814
"[1024, 512, 256]",sum,leakyrelu,full,0.6814
"[1024, 512, 256]",sum,elu,full,0.6814
"[1024, 512, 256]",sum,prelu,full,0.6812
[128],sum,relu,full,0.6812
"[1024, 512, 256]",mean,relu,full,0.6811
[1024],dense,leakyrelu,full,0.6811
"[512, 512]",dense,relu,full,0.6810
"[1024, 512, 256]",dense,prelu,full,0.6810
"[256, 256]",sum,tanh,full,0.6809
"[1024, 128]",dense,tanh,full,0.6809
"[1024, 1024, 1024]",dense,prelu,full,0.6809
"[256, 256]",dense,prelu,full,0.6808
"[256, 256]",dense,elu,full,0.6807
"[512, 512, 512]",mean,tanh,full,0.6807
"[1024, 1024, 1024]",dense,relu,full,0.6806
"[256, 256]",dense,relu,full,0.6804
"[256, 128]",dense,prelu,full,0.6804
"[512, 512, 512]",sum,relu,full,0.6804
"[1024, 1024, 1024]",dense,leakyrelu,full,0.6804
"[1024, 512, 256]",mean,leakyrelu,full,0.6802
"[256, 256]",sum,elu,full,0.6801
"[512, 512, 512]",sum,leakyrelu,full,0.6801
"[256, 128]",sum,leakyrelu,full,0.6800
"[512, 512, 256]",sum,leakyrelu,full,0.6800
[512],dense,leakyrelu,full,0.6800
"[512, 512, 512]",sum,prelu,full,0.6799
"[512, 512, 512]",dense,prelu,full,0.6797
"[256, 256]",mean,leakyrelu,full,0.6794
"[256, 256]",dense,leakyrelu,full,0.6794
"[512, 512, 512]",mean,leakyrelu,full,0.6794
"[512, 512, 256]",sum,prelu,full,0.6794
"[512, 512, 256]",mean,elu,full,0.6794
"[1024, 1024, 1024]",dense,elu,full,0.6793
[512],dense,elu,full,0.6793
"[256, 256]",mean,tanh,full,0.6792
"[512, 512, 512]",mean,prelu,full,0.6792
"[1024, 512, 256]",dense,elu,full,0.6792
"[256, 256]",dense,tanh,full,0.6791
"[512, 512, 512]",mean,relu,full,0.6791
"[256, 128]",dense,relu,full,0.6789
"[512, 512, 512]",sum,tanh,full,0.6788
"[512, 512, 256]",mean,leakyrelu,full,0.6788
"[512, 512, 256]",mean,prelu,full,0.6788
"[256, 256]",sum,relu,full,0.6787
"[512, 512, 256]",sum,elu,full,0.6787
"[512, 512, 256]",mean,tanh,full,0.6787
"[256, 256]",sum,leakyrelu,full,0.6786
"[256, 256]",mean,relu,full,0.6786
"[512, 512, 256]",sum,relu,full,0.6786
"[512, 512, 256]",mean,relu,full,0.6786
"[256, 256]",mean,elu,full,0.6785
"[512, 512, 512]",mean,elu,full,0.6785
"[256, 128]",dense,elu,full,0.6784
"[512, 512, 256]",sum,tanh,full,0.6784
"[256, 128]",mean,prelu,full,0.6783
"[1024, 512, 256]",dense,tanh,full,0.6783
"[512, 512, 256]",dense,leakyrelu,full,0.6783
[1024],dense,relu,full,0.6782
"[512, 512, 512]",dense,leakyrelu,full,0.6781
"[256, 256]",sum,prelu,full,0.6780
"[512, 512, 512]",dense,tanh,full,0.6780
"[256, 128]",dense,tanh,full,0.6779
"[128, 128]",dense,leakyrelu,full,0.6776
"[256, 128]",sum,tanh,full,0.6776
"[256, 128]",sum,prelu,full,0.6776
"[256, 128]",dense,leakyrelu,full,0.6776
"[512, 512, 512]",sum,elu,full,0.6773
"[512, 512, 512]",dense,elu,full,0.6773
"[1024, 512, 256]",dense,relu,full,0.6772
"[256, 128]",mean,relu,full,0.6771
"[128, 128]",dense,tanh,full,0.6770
"[256, 128]",sum,relu,full,0.6767
[1024],dense,tanh,full,0.6766
"[256, 128]",mean,tanh,full,0.6761
"[256, 128]",mean,leakyrelu,full,0.6761
"[1024, 512, 256]",dense,leakyrelu,full,0.6761
"[256, 128]",sum,elu,full,0.6759
"[256, 128]",mean,elu,full,0.6757
"[128, 128]",dense,prelu,full,0.6756
"[512, 512, 256]",dense,tanh,full,0.6756
"[128, 128]",dense,elu,full,0.6754
"[512, 512, 256]",dense,elu,full,0.6754
"[128, 128]",dense,relu,full,0.6752
"[512, 512, 256]",dense,prelu,full,0.6752
"[512, 512, 512]",dense,relu,full,0.6748
"[512, 512, 256]",dense,relu,full,0.6737
"[512, 256, 128]",mean,tanh,full,0.6733
[512],max,tanh,full,0.6731
"[512, 256, 128]",dense,relu,full,0.6724
"[512, 256, 128]",sum,prelu,full,0.6722
"[512, 256, 128]",dense,leakyrelu,full,0.6720
[256],max,prelu,full,0.6720
"[512, 256, 128]",mean,prelu,full,0.6719
"[512, 256, 128]",sum,elu,full,0.6713
"[512, 256, 128]",mean,elu,full,0.6712
"[512, 256, 128]",dense,prelu,full,0.6712
"[256, 256, 256]",dense,prelu,full,0.6710
"[128, 128]",mean,elu,full,0.6709
"[512, 256, 128]",sum,relu,full,0.6707
"[512, 256, 128]",sum,leakyrelu,full,0.6707
[256],max,leakyrelu,full,0.6706
"[128, 128]",sum,tanh,full,0.6705
"[128, 128]",sum,elu,full,0.6703
"[128, 128]",mean,relu,full,0.6703
"[256, 256, 256]",sum,leakyrelu,full,0.6703
"[256, 256, 256]",mean,elu,full,0.6703
"[128, 128]",sum,prelu,full,0.6701
[512],max,elu,full,0.6701
